Points:0,Points:1,Points:2,total_traction:0,total_traction:1,total_traction:2
0.099075,-0.027396,1.7317,-78301.0,22028.5,82.60249999999999
0.10124,-0.018221,1.7244,-79860.0,15462.2,-225.53000000000003
0.098354,-0.029871,1.7228,-77779.0,23810.0,-291.395
-0.098949,0.027031,0.83536,78794.5,-21064.0,437.48
-0.098235,0.029757,0.84526,78133.5,-23395.5,363.13
-0.10048,0.020664,0.8443,79972.0,-16021.5,466.53499999999997
0.023871,0.10029,-0.68251,-19467.5,-81214.5,-1036.24
0.013671,0.10224,-0.68304,-11721.4,-82688.0,-1133.285
0.022393,0.10078,-0.69152,-18516.0,-81434.5,-1326.12
-0.098918,0.013974,-1.9745,83109.5,-11573.35,-22.7915
-0.099717,0.0057507,-1.9695,83769.0,-4862.75,-78.871
-0.099763,0.0051725,-1.9812,83803.0,-4339.2,-92.43599999999999
0.013695,0.1024,-0.69325,-11442.9,-82726.0,-1304.26
0.042059,-0.087705,-0.31166,-40655.5,72656.5,-2602.95
0.032996,-0.091953,-0.30653,-32188.5,76785.5,-1953.5500000000002
0.041462,-0.0877,-0.30192,-40776.0,72570.5,-2520.65
0.10102,0.021511,1.5089,-79530.0,-17377.0,-147.3115
0.10286,0.010099,1.509,-80966.5,-8449.45,-138.398
0.10177,0.017678,1.5172,-80148.0,-14226.25,102.231
-0.09662,0.027135,2.998,78028.5,-21537.0,-36.111
-0.098618,0.018348,3.0005,79667.5,-14354.9,-94.40100000000001
-0.098366,0.019728,2.9895,79405.0,-15747.7,-142.69650000000001
-0.10258,-0.02228,-0.88456,81795.5,17171.5,-485.54499999999996
-0.1023,-0.023552,-0.87527,81583.0,18154.0,-148.226
-0.099977,-0.032295,-0.88341,79713.0,25115.5,-382.69
-0.00081174,-0.09814,0.20028,638.82,81380.0,863.675
-0.0084377,-0.097776,0.20974,9680.95,80802.5,1257.35
0.00085148,-0.098247,0.21094,-1504.2350000000001,81370.0,1067.8600000000001
0.10354,0.00079771,1.1053,-81507.5,-632.475,-101.55499999999999
0.10357,0.00049608,1.1146,-81506.0,-413.92999999999995,400.91499999999996
0.10301,0.010512,1.1108,-81062.0,-8505.75,108.5555
0.1036,-0.00057523,1.3445,-81450.0,588.18,-191.135
