Points:0,Points:1,Points:2,total_traction:0,total_traction:1,total_traction:2
0.099075,-0.027396,1.7317,-47542.0,13375.0,58.405
0.10124,-0.018221,1.7244,-48490.0,9388.4,-128.77
0.098354,-0.029871,1.7228,-47228.0,14457.0,-168.57
-0.098949,0.027031,0.83536,47939.0,-12816.0,270.66
-0.098235,0.029757,0.84526,47537.0,-14234.0,225.54
-0.10048,0.020664,0.8443,48654.0,-9748.0,288.55
0.023871,0.10029,-0.68251,-12107.0,-50509.0,-636.08
0.013671,0.10224,-0.68304,-7289.8,-51426.0,-696.57
0.022393,0.10078,-0.69152,-11516.0,-50649.0,-816.54
-0.098918,0.013974,-1.9745,51889.0,-7225.7,2.47
-0.099717,0.0057507,-1.9695,52298.0,-3035.9,-33.742
-0.099763,0.0051725,-1.9812,52326.0,-2709.4,-38.862
0.013695,0.1024,-0.69325,-7116.8,-51452.0,-803.02
0.042059,-0.087705,-0.31166,-25224.0,45073.0,-1592.7
0.032996,-0.091953,-0.30653,-19968.0,47631.0,-1189.2
0.041462,-0.0877,-0.30192,-25294.0,45011.0,-1539.9
0.10102,0.021511,1.5089,-48320.0,-10558.0,-81.383
0.10286,0.010099,1.509,-49193.0,-5133.9,-76.126
0.10177,0.017678,1.5172,-48696.0,-8643.5,70.122
-0.09662,0.027135,2.998,47177.0,-13021.0,-12.853
-0.098618,0.018348,3.0005,48165.0,-8678.8,-48.192
-0.098366,0.019728,2.9895,48010.0,-9521.4,-77.273
-0.10258,-0.02228,-0.88456,50901.0,10686.0,-294.58
-0.1023,-0.023552,-0.87527,50766.0,11297.0,-84.762
-0.099977,-0.032295,-0.88341,49606.0,15629.0,-230.67
-0.00081174,-0.09814,0.20028,387.56,49360.0,547.05
-0.0084377,-0.097776,0.20974,5871.9,49015.0,783.6
0.00085148,-0.098247,0.21094,-912.67,49360.0,668.72
0.10354,0.00079771,1.1053,-49575.0,-384.91,-54.94
0.10357,0.00049608,1.1146,-49572.0,-251.95,250.65
0.10301,0.010512,1.1108,-49304.0,-5173.5,72.941
0.1036,-0.00057523,1.3445,-49510.0,357.46,-108.59
0.10326,-0.0083214,1.3391,-49334.0,4205.1,-21.012
0.10306,-0.010191,1.3499,-49246.0,5097.5,-53.949
-0.04843,0.091042,1.7178,23521.0,-43433.0,-117.23
-0.039051,0.095532,1.7204,18978.0,-45600.0,-108.13
-0.043215,0.093661,1.7279,21102.0,-44654.0,-13.081
0.055761,0.021528,0.22029,-37365.0,-30051.0,11911.0
0.061382,0.012424,0.21781,-41253.0,-24871.0,10964.0
0.062621,0.014384,0.22667,-41278.0,-24679.0,11350.0
0.10289,0.0079997,-1.3059,-51947.0,-4342.1,294.31
0.10286,0.0093407,-1.2969,-51893.0,-4896.2,525.48
0.10153,0.018266,-1.3045,-51254.0,-9501.9,367.19
-0.099706,-0.033089,-0.87494,49450.0,16107.0,-188.27
-0.098758,-0.017771,-0.51456,51111.0,8798.7,-1141.6
-0.099886,-0.0078156,-0.51033,51719.0,3839.3,-1101.2
-0.098682,-0.016974,-0.50485,51178.0,8375.6,-1100.6
0.024094,0.0090292,-0.078156,-21230.0,-45180.0,-5363.2
0.026703,0.0089807,-0.087032,-23213.0,-44165.0,-6460.1
0.033778,0.0035035,-0.079779,-29752.0,-40132.0,-5238.6
-0.10166,0.0024686,0.68891,49604.0,-1281.6,513.15
-0.10154,-0.0043929,0.68084,49588.0,1795.5,359.2
-0.10134,0.0073242,0.68054,49496.0,-3509.7,439.42
-0.0018679,0.1045,-1.1523,401.31,-52083.0,411.96
0.0070368,0.10415,-1.1604,-3998.9,-51934.0,284.92
0.008647,0.10406,-1.1516,-4655.2,-51875.0,467.48
0.097277,-0.026384,0.59073,-47724.0,13529.0,469.31
0.093612,-0.037167,0.58865,-46088.0,18343.0,454.21
0.094586,-0.03492,0.59774,-46489.0,17301.0,633.93
0.096273,-0.026624,3.8424,-46753.0,13377.0,58.374
0.095153,-0.030327,3.8318,-46274.0,14964.0,-38.813
0.092797,-0.036835,3.8384,-45164.0,18033.0,-33.518
0.10314,0.0087839,1.4087,-49281.0,-4557.6,-72.293
0.10162,0.019419,1.4058,-48562.0,-9553.4,-34.622
0.10249,0.014439,1.3984,-48947.0,-7344.4,-77.581
0.10316,0.0087601,1.0998,-49381.0,-4408.0,73.588
0.094587,-0.032187,3.6519,-46036.0,15886.0,-70.88
0.092322,-0.038152,3.6588,-44983.0,18655.0,-61.246
0.09608,-0.027486,3.6623,-46733.0,13686.0,-19.148
0.10164,0.018251,-1.2943,-51243.0,-9536.0,484.82
0.042005,0.013732,0.15638,-32095.0,-35853.0,10752.0
0.038776,0.013875,0.14724,-30287.0,-37536.0,10187.0
0.047214,0.0062133,0.1492,-36534.0,-31699.0,9517.5
0.10122,0.0096251,2.3572,-48919.0,-4993.4,-67.975
0.099427,0.020925,2.3563,-48067.0,-10374.0,-54.153
0.10034,0.016188,2.3478,-48497.0,-8147.4,-87.582
0.099762,0.0086657,3.5358,-48523.0,-4618.0,106.75
0.098267,0.018859,3.5318,-47819.0,-9454.4,-10.255
0.099738,0.0088433,3.5263,-48532.0,-4569.8,-106.37
-0.0036531,-0.099432,0.039995,3044.7,49452.0,-872.48
-0.013694,-0.097795,0.045419,12019.0,48037.0,-764.86
