Points:0,Points:1,Points:2,total_traction:0,total_traction:1,total_traction:2
0.099075,-0.027396,1.7317,-109060.0,30682.0,106.8
0.10124,-0.018221,1.7244,-111230.0,21536.0,-322.29
0.098354,-0.029871,1.7228,-108330.0,33163.0,-414.22
-0.098949,0.027031,0.83536,109650.0,-29312.0,604.3
-0.098235,0.029757,0.84526,108730.0,-32557.0,500.72
-0.10048,0.020664,0.8443,111290.0,-22295.0,644.52
0.023871,0.10029,-0.68251,-26828.0,-111920.0,-1436.4
0.013671,0.10224,-0.68304,-16153.0,-113950.0,-1570.0
0.022393,0.10078,-0.69152,-25516.0,-112220.0,-1835.7
-0.098918,0.013974,-1.9745,114330.0,-15921.0,-48.053
-0.099717,0.0057507,-1.9695,115240.0,-6689.6,-124.0
-0.099763,0.0051725,-1.9812,115280.0,-5969.0,-146.01
0.013695,0.1024,-0.69325,-15769.0,-114000.0,-1805.5
0.042059,-0.087705,-0.31166,-56087.0,100240.0,-3613.2
0.032996,-0.091953,-0.30653,-44409.0,105940.0,-2717.9
0.041462,-0.0877,-0.30192,-56258.0,100130.0,-3501.4
0.10102,0.021511,1.5089,-110740.0,-24196.0,-213.24
0.10286,0.010099,1.509,-112740.0,-11765.0,-200.67
0.10177,0.017678,1.5172,-111600.0,-19809.0,134.34
-0.09662,0.027135,2.998,108880.0,-30053.0,-59.369
-0.098618,0.018348,3.0005,111170.0,-20031.0,-140.61
-0.098366,0.019728,2.9895,110800.0,-21974.0,-208.12
-0.10258,-0.02228,-0.88456,112690.0,23657.0,-676.51
-0.1023,-0.023552,-0.87527,112400.0,25011.0,-211.69
-0.099977,-0.032295,-0.88341,109820.0,34602.0,-534.71
-0.00081174,-0.09814,0.20028,890.08,113400.0,1180.3
-0.0084377,-0.097776,0.20974,13490.0,112590.0,1731.1
0.00085148,-0.098247,0.21094,-2095.8,113380.0,1467.0
0.10354,0.00079771,1.1053,-113440.0,-880.04,-148.17
0.10357,0.00049608,1.1146,-113440.0,-575.91,551.18
0.10301,0.010512,1.1108,-112820.0,-11838.0,144.17
0.1036,-0.00057523,1.3445,-113390.0,818.9,-273.68
0.10326,-0.0083214,1.3391,-112980.0,9630.4,-72.857
0.10306,-0.010191,1.3499,-112780.0,11675.0,-148.76
-0.04843,0.091042,1.7178,53951.0,-99626.0,-296.41
-0.039051,0.095532,1.7204,43533.0,-104600.0,-275.01
-0.043215,0.093661,1.7279,48406.0,-102430.0,-57.104
0.055761,0.021528,0.22029,-85779.0,-68984.0,27341.0
0.061382,0.012424,0.21781,-94712.0,-57098.0,25165.0
0.062621,0.014384,0.22667,-94752.0,-56647.0,26049.0
0.10289,0.0079997,-1.3059,-114840.0,-9598.9,626.22
0.10286,0.0093407,-1.2969,-114720.0,-10824.0,1137.7
0.10153,0.018266,-1.3045,-113310.0,-21006.0,787.36
-0.099706,-0.033089,-0.87494,109480.0,35661.0,-440.1
-0.098758,-0.017771,-0.51456,113350.0,19515.0,-2562.7
-0.099886,-0.0078156,-0.51033,114700.0,8516.6,-2472.5
-0.098682,-0.016974,-0.50485,113510.0,18578.0,-2472.1
0.024094,0.0090292,-0.078156,-48200.0,-102570.0,-12456.0
0.026703,0.0089807,-0.087032,-52623.0,-100110.0,-14911.0
0.033778,0.0035035,-0.079779,-67522.0,-91080.0,-12157.0
-0.10166,0.0024686,0.68891,113480.0,-2932.1,1164.6
-0.10154,-0.0043929,0.68084,113450.0,4107.5,811.78
-0.10134,0.0073242,0.68054,113230.0,-8029.6,996.58
-0.0018679,0.1045,-1.1523,887.62,-115200.0,887.46
0.0070368,0.10415,-1.1604,-8844.8,-114870.0,606.66
0.008647,0.10406,-1.1516,-10297.0,-114740.0,1010.5
0.097277,-0.026384,0.59073,-109220.0,30961.0,1064.8
0.093612,-0.037167,0.58865,-105480.0,41978.0,1027.7
0.094586,-0.03492,0.59774,-106390.0,39590.0,1439.4
0.096273,-0.026624,3.8424,-108370.0,31008.0,104.86
0.095153,-0.030327,3.8318,-107260.0,34683.0,-120.0
0.092797,-0.036835,3.8384,-104690.0,41800.0,-107.82
0.10314,0.0087839,1.4087,-112890.0,-10440.0,-191.54
0.10162,0.019419,1.4058,-111240.0,-21884.0,-104.82
0.10249,0.014439,1.3984,-112120.0,-16823.0,-203.18
0.10316,0.0087601,1.0998,-113000.0,-10086.0,146.21
0.094587,-0.032187,3.6519,-106610.0,36787.0,-194.27
0.092322,-0.038152,3.6588,-104170.0,43200.0,-171.86
0.09608,-0.027486,3.6623,-108230.0,31695.0,-74.973
0.10164,0.018251,-1.2943,-113290.0,-21082.0,1047.8
